organization_name,discipline_name,grid_id,discipline_id,number_researchers,pct_insiders,pct_domesticoutsiders,pct_foreignoutsiders,grid_country_code,established_year,country_name,geo_region,latitude,longitude,continent
University of Queensland,Technology,grid.1003.2,10,102,37.25490188598633,21.568628311157227,41.17647171020508,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,History and Archaeology,grid.1003.2,21,37,40.5405387878418,27.02702522277832,32.432430267333984,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Earth Sciences,grid.1003.2,4,155,39.35483932495117,22.580644607543945,38.06451416015625,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,"Language, Communication and Culture",grid.1003.2,20,59,59.32203674316406,25.423728942871094,15.254237174987791,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Economics,grid.1003.2,14,100,36.0,26.0,38.0,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Physical Sciences,grid.1003.2,2,267,34.83146286010742,26.217227935791016,38.95130920410156,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Built Environment and Design,grid.1003.2,12,47,44.680850982666016,14.893616676330566,40.42553329467773,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Studies in Human Society,grid.1003.2,16,215,49.76744079589844,26.97674369812012,23.255815505981445,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Medical and Health Sciences,grid.1003.2,11,1865,33.56568145751953,35.71045684814453,30.723861694335938,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Education,grid.1003.2,13,109,55.96330261230469,26.605504989624023,17.43119239807129,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Environmental Sciences,grid.1003.2,5,292,39.38356018066406,26.36986351013184,34.24657440185547,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,All,grid.1003.2,99,6424,38.1537971496582,27.38169479370117,34.464508056640625,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Information and Computing Sciences,grid.1003.2,8,173,42.77456665039063,17.341039657592773,39.884395599365234,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,"Commerce, Management, Tourism and Services",grid.1003.2,15,129,48.83720779418945,20.930233001708984,30.23255729675293,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
University of Queensland,Agricultural and Veterinary Sciences,grid.1003.2,7,245,41.2244873046875,24.081632614135746,34.693878173828125,AU,1909,Australia,Oceania,-27.495964,153.009627,Oceania
Macquarie University,"Commerce, Management, Tourism and Services",grid.1004.5,15,84,38.0952377319336,42.85714340209961,19.0476188659668,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Biological Sciences,grid.1004.5,6,240,22.08333396911621,39.16666793823242,38.75,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Engineering,grid.1004.5,9,129,19.379844665527344,28.68216896057129,51.937984466552734,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Technology,grid.1004.5,10,49,24.489795684814453,20.40816307067871,55.1020393371582,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Medical and Health Sciences,grid.1004.5,11,417,17.505996704101562,54.43645095825195,28.05755424499512,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,All,grid.1004.5,99,2041,26.702598571777344,39.9314079284668,33.365997314453125,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Psychology and Cognitive Sciences,grid.1004.5,17,205,28.780487060546875,46.34146499633789,24.878047943115234,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Physical Sciences,grid.1004.5,2,115,16.521738052368164,32.173912048339844,51.30434799194336,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Mathematical Sciences,grid.1004.5,1,69,24.63768196105957,39.13043594360352,36.23188400268555,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,History and Archaeology,grid.1004.5,21,31,41.93548202514648,38.70967483520508,19.35483741760254,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Agricultural and Veterinary Sciences,grid.1004.5,7,31,48.3870964050293,29.032257080078125,22.580644607543945,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Education,grid.1004.5,13,79,44.30379867553711,40.50632858276367,15.18987274169922,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Chemical Sciences,grid.1004.5,3,80,13.75,33.75,52.499996185302734,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Environmental Sciences,grid.1004.5,5,93,30.10752868652344,40.86021423339844,29.032257080078125,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Earth Sciences,grid.1004.5,4,89,24.71910095214844,29.21348190307617,46.06741714477539,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,"Language, Communication and Culture",grid.1004.5,20,51,54.90196228027344,23.52941131591797,21.568628311157227,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Studies in Human Society,grid.1004.5,16,91,45.05494689941406,31.868133544921875,23.076923370361328,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Economics,grid.1004.5,14,42,35.71428680419922,38.0952377319336,26.19047737121582,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
Macquarie University,Information and Computing Sciences,grid.1004.5,8,94,21.276596069335938,38.2978744506836,40.42553329467773,AU,1964,Australia,Oceania,-33.775259,151.112915,Oceania
University of La Laguna,Chemical Sciences,grid.10041.34,3,105,82.85714721679688,9.523809432983398,7.619048118591309,ES,1927,Spain,Southern Europe,28.484815,-16.31285,Europe
University of La Laguna,Medical and Health Sciences,grid.10041.34,11,131,69.46565246582031,24.42748069763184,6.106870174407959,ES,1927,Spain,Southern Europe,28.484815,-16.31285,Europe
University of La Laguna,Psychology and Cognitive Sciences,grid.10041.34,17,55,83.63636016845703,10.909090995788574,5.454545497894287,ES,1927,Spain,Southern Europe,28.484815,-16.31285,Europe
