organization_name,for_division,grid_id,for_division_id,researchers,ResSameInst,ResSameCountry,ResOtherInstSameCountry,ResOtherCountry,country_code,latitude,longitude,univ_id
University of Murcia,Technology,grid.10586.3a,10,31,0.8387096774193549,0.9354838709677419,0.09677419354838701,0.06451612903225812,ES,38.019583,-1.169259,656
University of Rouen,Technology,grid.10400.35,10,2,0.0,1.0,1.0,0.0,FR,49.460001,1.067002,2630
Federal University of Bahia,Engineering,grid.8399.b,09,91,0.46153846153846156,0.8901098901098901,0.4285714285714285,0.10989010989010994,BR,-13.001666,-38.506658,1488
Durham University,Engineering,grid.8250.f,09,124,0.3709677419354839,0.7903225806451613,0.4193548387096774,0.20967741935483875,GB,54.765178,-1.578224,293
The University of Texas at Austin,Engineering,grid.89336.37,09,427,0.3559718969555035,0.8032786885245902,0.44730679156908665,0.19672131147540978,US,30.28614,-97.73942,1172
National University of Colombia,Technology,grid.10689.36,10,19,0.5263157894736842,0.5789473684210527,0.052631578947368474,0.42105263157894735,CO,4.635556,-74.082778,3708
University of Oulu,Technology,grid.10858.34,10,82,0.6707317073170732,0.8170731707317073,0.14634146341463405,0.18292682926829273,FI,65.059167,25.466111,128
University of Leeds,Engineering,grid.9909.9,09,448,0.4419642857142857,0.7723214285714286,0.3303571428571429,0.2276785714285714,GB,53.807222,-1.551667,309
Newcastle University,Technology,grid.1006.7,10,55,0.4,0.7090909090909091,0.3090909090909091,0.2909090909090909,GB,54.978,-1.615,335
University of Sheffield,Technology,grid.11835.3e,10,52,0.36538461538461536,0.75,0.38461538461538464,0.25000000000000006,GB,53.381389,-1.488272,348
University of Ljubljana,Engineering,grid.8954.0,09,309,0.8543689320388349,0.9741100323624595,0.11974110032362462,0.02588996763754048,SI,46.049268,14.505099,619
Keele University,Engineering,grid.9757.c,09,53,0.4528301886792453,0.8490566037735849,0.39622641509433965,0.15094339622641506,GB,53.003,-2.273,306
University of Limerick,Technology,grid.10049.3c,10,20,0.6,0.7,0.09999999999999998,0.30000000000000004,IE,52.674,-8.571,403
University of Turku,Technology,grid.1374.1,10,31,0.4838709677419355,0.9354838709677419,0.4516129032258064,0.06451612903225812,FI,60.456299,22.285113,133
University of Malaya,Technology,grid.10347.31,10,84,0.7142857142857143,0.8095238095238095,0.09523809523809523,0.19047619047619047,MY,3.120833,101.656389,1452
University of Reading,Earth Sciences,grid.9435.b,04,149,0.3959731543624161,0.7248322147651006,0.32885906040268453,0.2751677852348994,GB,51.440832,-0.942503,800
University of Limerick,Environmental Sciences,grid.10049.3c,05,15,0.4666666666666667,0.6666666666666666,0.19999999999999996,0.33333333333333337,IE,52.674,-8.571,403
Newcastle University,Environmental Sciences,grid.1006.7,05,54,0.5185185185185185,0.8703703703703703,0.35185185185185186,0.12962962962962965,GB,54.978,-1.615,335
Keele University,Earth Sciences,grid.9757.c,04,12,0.08333333333333333,0.5,0.4166666666666667,0.49999999999999994,GB,53.003,-2.273,306
University of Ljubljana,Earth Sciences,grid.8954.0,04,41,0.8292682926829268,0.9512195121951219,0.12195121951219512,0.04878048780487809,SI,46.049268,14.505099,619
AGH University of Science and Technology,Earth Sciences,grid.9922.0,04,58,0.7758620689655172,0.9827586206896551,0.2068965517241379,0.017241379310344862,PL,50.067161,19.913276,514
Durham University,Earth Sciences,grid.8250.f,04,120,0.325,0.7416666666666667,0.4166666666666667,0.25833333333333325,GB,54.765178,-1.578224,293
Kanazawa University,Earth Sciences,grid.9707.9,04,34,0.38235294117647056,0.9411764705882353,0.5588235294117647,0.05882352941176472,JP,36.5625,136.656111,1097
University of Malaya,Environmental Sciences,grid.10347.31,05,49,0.7142857142857143,0.8571428571428571,0.1428571428571428,0.1428571428571429,MY,3.120833,101.656389,1452
National University of Colombia,Environmental Sciences,grid.10689.36,05,31,0.6774193548387096,0.8709677419354839,0.19354838709677424,0.12903225806451613,CO,4.635556,-74.082778,3708
University of Łódź,Environmental Sciences,grid.10789.37,05,34,0.8823529411764706,0.9117647058823529,0.02941176470588236,0.08823529411764708,PL,51.771667,19.473056,518
University of Murcia,Environmental Sciences,grid.10586.3a,05,45,0.8666666666666667,0.9555555555555556,0.0888888888888889,0.0444444444444444,ES,38.019583,-1.169259,656
University of Novi Sad,Environmental Sciences,grid.10822.39,05,43,0.8837209302325582,0.9069767441860465,0.023255813953488302,0.09302325581395354,RS,45.24214,19.82861,55
Massachusetts Institute of Technology,Environmental Sciences,grid.116068.8,05,45,0.35555555555555557,0.7555555555555555,0.39999999999999997,0.24444444444444452,US,42.35982,-71.09211,1188
Plymouth University,Environmental Sciences,grid.11201.33,05,54,0.24074074074074073,0.7592592592592593,0.5185185185185186,0.24074074074074067,GB,50.375927,-4.139291,341
Tsinghua University,Environmental Sciences,grid.12527.33,05,141,0.6666666666666666,0.8156028368794326,0.14893617021276595,0.18439716312056742,CN,39.999585,116.325414,1125
The University of Texas at Austin,Earth Sciences,grid.89336.37,04,200,0.375,0.855,0.48,0.14500000000000002,US,30.28614,-97.73942,1172
University of Rouen,Environmental Sciences,grid.10400.35,05,6,0.5,1.0,0.5,0.0,FR,49.460001,1.067002,2630
Australian National University,Environmental Sciences,grid.1001.0,05,113,0.4247787610619469,0.7256637168141593,0.3008849557522124,0.2743362831858407,AU,-35.2778,149.1205,1056
University of Sheffield,Environmental Sciences,grid.11835.3e,05,82,0.3780487804878049,0.7560975609756098,0.3780487804878049,0.24390243902439024,GB,53.381389,-1.488272,348
Massey University,Environmental Sciences,grid.148374.d,05,67,0.5970149253731343,0.746268656716418,0.14925373134328368,0.25373134328358204,NZ,-40.3856388255737,175.618056356907,1451
University of Turku,Environmental Sciences,grid.1374.1,05,50,0.5,0.82,0.31999999999999995,0.18000000000000005,FI,60.456299,22.285113,133
VU University Amsterdam,Environmental Sciences,grid.12380.38,05,60,0.2833333333333333,0.7166666666666667,0.43333333333333335,0.2833333333333333,NL,52.333941,4.865709,480
University of Oulu,Environmental Sciences,grid.10858.34,05,47,0.6595744680851063,0.851063829787234,0.19148936170212771,0.14893617021276595,FI,65.059167,25.466111,128
Tokyo Metropolitan University,Law and Legal Studies,grid.265074.2,18,1,1.0,1.0,0.0,0.0,JP,35.616667,139.377222,3656
Stockholm University,Law and Legal Studies,grid.10548.38,18,21,0.6190476190476191,0.9047619047619048,0.2857142857142857,0.09523809523809523,SE,59.365278,18.058333,687
University of Łódź,Law and Legal Studies,grid.10789.37,18,1,1.0,1.0,0.0,0.0,PL,51.771667,19.473056,518
The Ohio State University,Law and Legal Studies,grid.261331.4,18,8,0.25,0.875,0.625,0.125,US,40.0,-83.0145,1202
University of Newcastle Australia,Law and Legal Studies,grid.266842.c,18,2,0.5,1.0,0.5,0.0,AU,-32.892778,151.704444,1059
University of Tokushima,Law and Legal Studies,grid.267335.6,18,5,0.8,1.0,0.19999999999999996,0.0,JP,34.07,134.56,1110
Kumamoto University,Law and Legal Studies,grid.274841.c,18,6,0.6666666666666666,1.0,0.33333333333333337,0.0,JP,32.813889,130.728056,1099
West Virginia University,Law and Legal Studies,grid.268154.c,18,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333334,US,39.63582,-79.95453,1248
University of Tennessee at Knoxville,Technology,grid.411461.7,10,61,0.19672131147540983,0.8032786885245902,0.6065573770491803,0.19672131147540983,US,35.95593,-83.930143,1228
Kitasato University,Technology,grid.410786.c,10,20,0.6,1.0,0.4,0.0,JP,35.642558,139.725631,1544
